Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,G_mean_rat,Dir_enc,A1_enc,A2_enc,A3_enc
2019,136,Drama,6.0,850,Mangesh Hadawale,Meezaan Jafri,Sharmin Segal,Chinmayee Surve,5.985004212299915,6.0,6.0,6.0,6.0
2019,136,Romance,6.0,850,Mangesh Hadawale,Meezaan Jafri,Sharmin Segal,Chinmayee Surve,5.754529717253318,6.0,6.0,6.0,6.0
2006,137,Comedy,7.0,6120,Priyadarshan,Paresh Rawal,Om Puri,Riteish Deshmukh,5.728073635765943,6.272368421052631,6.776190476190477,5.377419354838709,5.1033333333333335
2020,135,Action,6.5,8972,Mohit Suri,Aditya Roy Kapoor,Anil Kapoor,Disha Patani,5.435978600089166,6.167647058823529,6.153846153846154,5.340298507462687,6.5
2020,135,Crime,6.5,8972,Mohit Suri,Aditya Roy Kapoor,Anil Kapoor,Disha Patani,5.726989935956085,6.167647058823529,6.153846153846154,5.340298507462687,6.5
2020,135,Drama,6.5,8972,Mohit Suri,Aditya Roy Kapoor,Anil Kapoor,Disha Patani,5.985004212299915,6.167647058823529,6.153846153846154,5.340298507462687,6.5
2010,128,Biography,6.6,23,Deepak Balraj Vij,Akanksha,Rana Jung Bahadur,Sudesh Berry,6.763414634146342,5.057142857142857,6.599999999999999,5.138461538461538,5.8
2010,128,Drama,6.6,23,Deepak Balraj Vij,Akanksha,Rana Jung Bahadur,Sudesh Berry,5.985004212299915,5.057142857142857,6.599999999999999,5.138461538461538,5.8
2010,128,History,6.6,23,Deepak Balraj Vij,Akanksha,Rana Jung Bahadur,Sudesh Berry,6.830088495575221,5.057142857142857,6.599999999999999,5.138461538461538,5.8
2010,99,Horror,4.6,52,Wilson Louis,Anjum Nayar,Sammir Dattani,Mamik Singh,4.787854251012146,4.666666666666667,4.6,4.64,4.6
2010,99,Mystery,4.6,52,Wilson Louis,Anjum Nayar,Sammir Dattani,Mamik Singh,5.793820224719101,4.666666666666667,4.6,4.64,4.6
2010,99,Thriller,4.6,52,Wilson Louis,Anjum Nayar,Sammir Dattani,Mamik Singh,5.53436385255648,4.666666666666667,4.6,4.64,4.6
1977,116,Comedy,6.7,27,Naresh Kumar,Shammi Kapoor,Randhir Kapoor,Parveen Babi,5.728073635765943,6.016129032258065,6.745045045045045,6.376923076923077,6.191666666666666
1977,116,Drama,6.7,27,Naresh Kumar,Shammi Kapoor,Randhir Kapoor,Parveen Babi,5.985004212299915,6.016129032258065,6.745045045045045,6.376923076923077,6.191666666666666
1977,116,Family,6.7,27,Naresh Kumar,Shammi Kapoor,Randhir Kapoor,Parveen Babi,6.1843800322061195,6.016129032258065,6.745045045045045,6.376923076923077,6.191666666666666
1994,130,Drama,7.7,406,Shyam Benegal,Farida Jalal,Surekha Sikri,Amit Phalke,5.985004212299915,7.1875,7.7,7.45,6.9
