Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,G_mean_rat,Dir_enc,A1_enc,A2_enc,A3_enc
1987,130,Romance,7.6,21,Mohan Kavia,Moushumi Chatterjee,Farooq Shaikh,Shreeram Lagoo,5.754529717253318,7.6,7.6,6.35,5.996
1998,164,Action,4.1,420,Anil Sharma,Govinda,Manisha Koirala,Raj Babbar,5.435978600089166,5.505714285714285,4.838709677419355,4.906122448979592,5.625675675675676
1998,164,Adventure,4.1,420,Anil Sharma,Govinda,Manisha Koirala,Raj Babbar,5.859942363112392,5.505714285714285,4.838709677419355,4.906122448979592,5.625675675675676
1998,164,Comedy,4.1,420,Anil Sharma,Govinda,Manisha Koirala,Raj Babbar,5.728073635765943,5.505714285714285,4.838709677419355,4.906122448979592,5.625675675675676
1970,74,Action,5.6,8,Naresh Saigal,Sanjay Khan,Nutan,Jeevan,5.435978600089166,6.2,5.982051282051282,6.77457627118644,6.293617021276596
2012,145,Action,5.0,108,Pradeep Kumawat,Narayan Singh Sisodia,Kuldeep Chaturvedi,Payal Kumawat,5.435978600089166,5.0,5.0,5.0,5.0
2012,145,War,5.0,108,Pradeep Kumawat,Narayan Singh Sisodia,Kuldeep Chaturvedi,Payal Kumawat,5.981818181818182,5.0,5.0,5.0,5.0
2008,114,Crime,7.1,976,Shivam Nair,Naseeruddin Shah,Om Puri,Boman Irani,5.726989935956085,6.35,6.065346534653465,5.377419354838709,5.788235294117648
2008,114,Drama,7.1,976,Shivam Nair,Naseeruddin Shah,Om Puri,Boman Irani,5.985004212299915,6.35,6.065346534653465,5.377419354838709,5.788235294117648
2008,114,Mystery,7.1,976,Shivam Nair,Naseeruddin Shah,Om Puri,Boman Irani,5.793820224719101,6.35,6.065346534653465,5.377419354838709,5.788235294117648
1944,132,Action,5.5,11,Bhalji Pendharkar,Kamalakar Torne,Prithviraj Kapoor,Durga Khote,5.435978600089166,6.683333333333334,5.5,6.2272727272727275,6.720000000000001
1944,132,Adventure,5.5,11,Bhalji Pendharkar,Kamalakar Torne,Prithviraj Kapoor,Durga Khote,5.859942363112392,6.683333333333334,5.5,6.2272727272727275,6.720000000000001
1944,132,Drama,5.5,11,Bhalji Pendharkar,Kamalakar Torne,Prithviraj Kapoor,Durga Khote,5.985004212299915,6.683333333333334,5.5,6.2272727272727275,6.720000000000001
